City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,Sambava,-14.2667,50.1667,75.65,90,99,13.76,MG,2021-04-18 22:37:06
249,Hobart,-42.8794,147.3294,57.2,58,75,8.05,AU,2021-04-18 22:36:33
250,Payo,-3.7508,103.6372,71.47,98,91,2.08,ID,2021-04-18 22:37:06
251,Jumla,29.2747,82.1838,39.85,75,6,4.38,NP,2021-04-18 22:37:06
252,San Jose,37.3394,-121.895,86.0,20,1,11.5,US,2021-04-18 22:32:32
253,Evensk,61.95,159.2333,31.5,96,100,2.26,RU,2021-04-18 22:37:07
254,Jalu,29.0331,21.5482,79.36,28,100,16.82,LY,2021-04-18 22:37:07
255,Kudahuvadhoo,2.6708,72.8944,82.78,62,77,8.14,MV,2021-04-18 22:37:08
256,Spearfish,44.4908,-103.8594,51.8,43,40,14.97,US,2021-04-18 22:37:08
257,Bayir,37.2687,28.2167,57.2,82,75,3.44,TR,2021-04-18 22:37:08
258,Wanaka,-44.7,169.15,54.5,73,100,7.05,NZ,2021-04-18 22:37:08
259,Kozhva,65.1073,57.0459,12.61,97,41,1.59,RU,2021-04-18 22:37:09
260,Mehamn,71.0357,27.8492,35.13,78,99,12.59,NO,2021-04-18 22:37:09
261,Port Hedland,-20.3167,118.5667,68.0,77,0,1.14,AU,2021-04-18 22:37:09
262,Egvekinot,66.3167,-179.1667,27.37,98,100,12.86,RU,2021-04-18 22:37:10
263,Illintsi,49.1048,29.2177,46.31,86,100,4.41,UA,2021-04-18 22:37:10
264,Upernavik,72.7868,-56.1549,4.57,90,99,4.92,GL,2021-04-18 22:37:10
265,Labuhan,-6.8844,112.2051,76.82,86,94,4.43,ID,2021-04-18 22:37:11
266,Constantine,36.365,6.6147,39.2,75,20,2.3,DZ,2021-04-18 22:37:11
267,Chumikan,54.7183,135.315,29.7,95,100,12.86,RU,2021-04-18 22:37:11
268,Iqaluit,63.7506,-68.5145,21.2,68,40,0.6,CA,2021-04-18 22:37:12
269,Ohrid,41.1172,20.8019,45.45,80,31,2.26,MK,2021-04-18 22:37:12
270,Pangnirtung,66.1451,-65.7125,8.17,89,31,3.94,CA,2021-04-18 22:37:12
271,Sechura,-5.5569,-80.8222,75.65,66,61,12.73,PE,2021-04-18 22:37:13
272,Half Moon Bay,37.4636,-122.4286,69.8,82,1,12.66,US,2021-04-18 22:34:42
273,Blanquefort,44.9125,-0.6366,48.0,81,0,1.14,FR,2021-04-18 22:37:13
274,Te Anau,-45.4167,167.7167,54.14,82,100,6.98,NZ,2021-04-18 22:37:13
275,Sidi Ali,36.0998,0.4206,52.79,58,55,3.69,DZ,2021-04-18 22:37:14
276,Olafsvik,64.8945,-23.7142,34.86,61,96,16.69,IS,2021-04-18 22:37:14
277,North Bend,43.4065,-124.2243,69.01,87,90,11.5,US,2021-04-18 22:37:14
278,Sinnamary,5.3833,-52.95,77.65,82,81,10.22,GF,2021-04-18 22:37:14
279,Teahupoo,-17.8333,-149.2667,87.8,58,20,5.75,PF,2021-04-18 22:37:14
280,Kabo,7.6994,18.629,75.74,61,100,4.88,CF,2021-04-18 22:37:15
281,The Pas,53.8251,-101.2541,33.8,37,1,11.5,CA,2021-04-18 22:37:15
282,Punganuru,13.3667,78.5833,74.75,77,99,3.76,IN,2021-04-18 22:37:15
283,Grand Gaube,-20.0064,57.6608,77.0,86,100,5.01,MU,2021-04-18 22:37:16
284,Araguaina,-7.1911,-48.2072,75.74,87,77,0.49,BR,2021-04-18 22:37:16
285,Udachnyy,66.4167,112.4,-2.42,99,99,2.51,RU,2021-04-18 22:37:16
286,Sept-Iles,50.2001,-66.3821,41.0,75,91,8.05,CA,2021-04-18 22:34:20
287,Bilma,18.6853,12.9164,86.11,6,37,8.21,NE,2021-04-18 22:37:17
288,Sawakin,19.1059,37.3321,80.38,71,0,5.12,SD,2021-04-18 22:37:17
289,Jimeta,9.2833,12.4667,86.65,42,68,5.21,NG,2021-04-18 22:37:17
290,Batemans Bay,-35.7167,150.1833,57.0,82,12,1.99,AU,2021-04-18 22:37:17
291,Hofn,64.2539,-15.2082,39.27,69,6,19.01,IS,2021-04-18 22:37:18
292,Port-Gentil,-0.7193,8.7815,80.6,89,20,3.44,GA,2021-04-18 22:37:18
